"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","2001","40 years","Male","Number","28035"
"Population estimates from 1926","2001","40 years","Female","Number","28898"
"Population estimates from 1926","2001","41 years","Both sexes","Number","54264"
"Population estimates from 1926","2001","41 years","Male","Number","26960"
"Population estimates from 1926","2001","41 years","Female","Number","27304"
"Population estimates from 1926","2001","42 years","Both sexes","Number","51813"
"Population estimates from 1926","2001","42 years","Male","Number","25664"
"Population estimates from 1926","2001","42 years","Female","Number","26149"
"Population estimates from 1926","2001","43 years","Both sexes","Number","52393"
"Population estimates from 1926","2001","43 years","Male","Number","26015"
"Population estimates from 1926","2001","43 years","Female","Number","26378"
"Population estimates from 1926","2001","44 years","Both sexes","Number","52184"
"Population estimates from 1926","2001","44 years","Male","Number","26291"
"Population estimates from 1926","2001","44 years","Female","Number","25893"
"Population estimates from 1926","2001","45 years","Both sexes","Number","50011"
"Population estimates from 1926","2001","45 years","Male","Number","25116"
"Population estimates from 1926","2001","45 years","Female","Number","24895"
"Population estimates from 1926","2001","46 years","Both sexes","Number","49726"
"Population estimates from 1926","2001","46 years","Male","Number","24565"
"Population estimates from 1926","2001","46 years","Female","Number","25161"
"Population estimates from 1926","2001","47 years","Both sexes","Number","48521"
"Population estimates from 1926","2001","47 years","Male","Number","24323"
"Population estimates from 1926","2001","47 years","Female","Number","24198"
"Population estimates from 1926","2001","48 years","Both sexes","Number","49182"
"Population estimates from 1926","2001","48 years","Male","Number","24928"
"Population estimates from 1926","2001","48 years","Female","Number","24254"
"Population estimates from 1926","2001","49 years","Both sexes","Number","46461"
"Population estimates from 1926","2001","49 years","Male","Number","23471"
"Population estimates from 1926","2001","49 years","Female","Number","22990"
"Population estimates from 1926","2001","50 years","Both sexes","Number","46350"
"Population estimates from 1926","2001","50 years","Male","Number","23056"
"Population estimates from 1926","2001","50 years","Female","Number","23294"
"Population estimates from 1926","2001","51 years","Both sexes","Number","46274"
"Population estimates from 1926","2001","51 years","Male","Number","23438"
"Population estimates from 1926","2001","51 years","Female","Number","22836"
"Population estimates from 1926","2001","52 years","Both sexes","Number","46248"
"Population estimates from 1926","2001","52 years","Male","Number","23114"
"Population estimates from 1926","2001","52 years","Female","Number","23134"
"Population estimates from 1926","2001","53 years","Both sexes","Number","44938"
"Population estimates from 1926","2001","53 years","Male","Number","22984"
"Population estimates from 1926","2001","53 years","Female","Number","21954"
"Population estimates from 1926","2001","54 years","Both sexes","Number","44426"
"Population estimates from 1926","2001","54 years","Male","Number","22916"
"Population estimates from 1926","2001","54 years","Female","Number","21510"
"Population estimates from 1926","2001","55 years","Both sexes","Number","42449"
"Population estimates from 1926","2001","55 years","Male","Number","21295"
"Population estimates from 1926","2001","55 years","Female","Number","21154"
"Population estimates from 1926","2001","56 years","Both sexes","Number","38098"
"Population estimates from 1926","2001","56 years","Male","Number","19096"
"Population estimates from 1926","2001","56 years","Female","Number","19002"
"Population estimates from 1926","2001","57 years","Both sexes","Number","36947"
"Population estimates from 1926","2001","57 years","Male","Number","18923"
"Population estimates from 1926","2001","57 years","Female","Number","18024"
"Population estimates from 1926","2001","58 years","Both sexes","Number","36066"
"Population estimates from 1926","2001","58 years","Male","Number","17949"
"Population estimates from 1926","2001","58 years","Female","Number","18117"
"Population estimates from 1926","2001","59 years","Both sexes","Number","32262"
"Population estimates from 1926","2001","59 years","Male","Number","16734"
"Population estimates from 1926","2001","59 years","Female","Number","15528"
"Population estimates from 1926","2001","60 years","Both sexes","Number","31138"
"Population estimates from 1926","2001","60 years","Male","Number","15503"
"Population estimates from 1926","2001","60 years","Female","Number","15635"
"Population estimates from 1926","2001","61 years","Both sexes","Number","31968"
"Population estimates from 1926","2001","61 years","Male","Number","16167"
"Population estimates from 1926","2001","61 years","Female","Number","15801"
"Population estimates from 1926","2001","62 years","Both sexes","Number","30769"
"Population estimates from 1926","2001","62 years","Male","Number","15612"
"Population estimates from 1926","2001","62 years","Female","Number","15157"
"Population estimates from 1926","2001","63 years","Both sexes","Number","28229"
"Population estimates from 1926","2001","63 years","Male","Number","13873"
"Population estimates from 1926","2001","63 years","Female","Number","14356"
"Population estimates from 1926","2001","64 years","Both sexes","Number","29643"
"Population estimates from 1926","2001","64 years","Male","Number","14777"
"Population estimates from 1926","2001","64 years","Female","Number","14866"
"Population estimates from 1926","2001","65 years","Both sexes","Number","27745"
"Population estimates from 1926","2001","65 years","Male","Number","13567"
"Population estimates from 1926","2001","65 years","Female","Number","14178"
"Population estimates from 1926","2001","66 years","Both sexes","Number","26429"
"Population estimates from 1926","2001","66 years","Male","Number","12967"
"Population estimates from 1926","2001","66 years","Female","Number","13462"
"Population estimates from 1926","2001","67 years","Both sexes","Number","26413"
"Population estimates from 1926","2001","67 years","Male","Number","13109"
"Population estimates from 1926","2001","67 years","Female","Number","13304"
"Population estimates from 1926","2001","68 years","Both sexes","Number","25558"
"Population estimates from 1926","2001","68 years","Male","Number","12337"
"Population estimates from 1926","2001","68 years","Female","Number","13221"
"Population estimates from 1926","2001","69 years","Both sexes","Number","24650"
"Population estimates from 1926","2001","69 years","Male","Number","12027"
"Population estimates from 1926","2001","69 years","Female","Number","12623"
"Population estimates from 1926","2001","70 years","Both sexes","Number","24531"
"Population estimates from 1926","2001","70 years","Male","Number","11699"
"Population estimates from 1926","2001","70 years","Female","Number","12832"
"Population estimates from 1926","2001","71 years","Both sexes","Number","23264"
"Population estimates from 1926","2001","71 years","Male","Number","10957"
"Population estimates from 1926","2001","71 years","Female","Number","12307"
"Population estimates from 1926","2001","72 years","Both sexes","Number","22199"
"Population estimates from 1926","2001","72 years","Male","Number","10115"
"Population estimates from 1926","2001","72 years","Female","Number","12084"
"Population estimates from 1926","2001","73 years","Both sexes","Number","20776"
"Population estimates from 1926","2001","73 years","Male","Number","9010"
"Population estimates from 1926","2001","73 years","Female","Number","11766"
